Label,URI,Parent URI,Sort Priority,Description,Local Notation
NUTS,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,,0,,nuts
UK Government Statistical Geographies,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/statistical-geographies,,1,,statistical-geographies
NORTH EAST (ENGLAND),http://data.europa.eu/nuts/code/UKC,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,2,,UKC
NORTH WEST (ENGLAND),http://data.europa.eu/nuts/code/UKD,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,3,,UKD
YORKSHIRE AND THE HUMBER,http://data.europa.eu/nuts/code/UKE,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,4,,UKE
EAST MIDLANDS (ENGLAND),http://data.europa.eu/nuts/code/UKF,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,5,,UKF
WEST MIDLANDS (ENGLAND),http://data.europa.eu/nuts/code/UKG,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,6,,UKG
EAST OF ENGLAND,http://data.europa.eu/nuts/code/UKH,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,7,,UKH
LONDON,http://data.europa.eu/nuts/code/UKI,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,8,,UKI
SOUTH EAST (ENGLAND),http://data.europa.eu/nuts/code/UKJ,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,9,,UKJ
SOUTH WEST (ENGLAND),http://data.europa.eu/nuts/code/UKK,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,10,,UKK
WALES,http://data.europa.eu/nuts/code/UKL,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,11,,UKL
SCOTLAND,http://data.europa.eu/nuts/code/UKM,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,12,,UKM
NORTHERN IRELAND,http://data.europa.eu/nuts/code/UKN,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,13,,UKN
UNITED KINGDOM,http://data.europa.eu/nuts/code/UK,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,14,,UK
Tees Valley and Durham,http://data.europa.eu/nuts/code/UKC1,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,15,,UKC1
Northumberland and Tyne and Wear,http://data.europa.eu/nuts/code/UKC2,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,16,,UKC2
Cumbria,http://data.europa.eu/nuts/code/UKD1,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,17,,UKD1
Greater Manchester,http://data.europa.eu/nuts/code/UKD3,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,18,,UKD3
